Month,2018,2019,2020,Change percentage (18-19),Change percentage (19-20),
January,7125,7849,8005,10.2,2,
February,6354,6964,7462,9.6,7.2,
March,6700,7265,7983,8.4,9.9,
April,5895,6628,7053,12.4,6.4,
May,6162,6484,7355,5.2,13.4,
June,6160,6512,7508,5.7,15.3,
July,6188,6810,7145,10.1,4.9,
August,6754,6930,7881,2.6,13.7,
September,6547,6870,7430,4.9,8.2,
October,6768,7095,8236,4.8,16.1,
November,6888,7137,8122,3.6,13.8,
December,7807,7999,8341,2.5,4.3,
Grand Total,79348,84543,92521,6.5,9.4,
